BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Harry Gurney,2,0,13,1,6.50,7,1,1.0,0.0,0.0,99
Fawad Ahmed,4,0,23,0,5.75,11,3,0.0,0.0,0.0,99
Mohammad Nawaz,2,0,13,0,6.50,2,1,0.0,0.0,0.0,99
Rilee Rossouw,1,0,6,0,6.00,3,1,0.0,0.0,0.0,99
Danish Aziz,0.3,0,6,0,12.00,0,1,0.0,0.0,0.0,99
Rumman Raees,4,0,27,3,6.75,10,3,0.0,0.0,0.0,100
Muhammad Musa,2,0,23,0,11.50,4,3,1.0,0.0,0.0,100
Samit Patel,2,0,22,0,11.00,3,1,2.0,0.0,0.0,100
Faheem Ashraf,4,0,40,1,10.00,6,6,0.0,1.0,0.0,100
Shadab Khan,4,0,27,1,6.75,9,2,1.0,1.0,0.0,100
Amad Butt,4,0,27,1,6.75,9,2,1.0,0.0,0.0,100
Imad Wasim,3.2,0,31,1,9.30,8,3,2.0,0.0,0.0,100
Mohammad Amir,4,0,23,1,5.75,14,3,0.0,2.0,0.0,100
Usman Shinwari,4,0,44,1,11.00,9,3,3.0,1.0,1.0,100
Umer Khan,4,0,29,2,7.25,11,3,1.0,0.0,0.0,100
Aamer Yamin,3,0,20,0,6.66,6,2,0.0,0.0,0.0,100
Colin Munro,1,0,19,0,19.00,0,1,2.0,0.0,0.0,100
Hasan Ali,4,0,42,1,10.50,9,4,2.0,2.0,0.0,101
Liam Dawson,3,0,26,1,8.66,6,2,1.0,1.0,0.0,101
Umaid Asif,4,0,31,1,7.75,10,2,2.0,0.0,0.0,101
Wahab Riaz,4,0,38,0,9.50,7,6,0.0,1.0,0.0,101
Ibtisam Sheikh,2,0,17,0,8.50,3,1,1.0,0.0,0.0,101
Kieron Pollard,3,0,15,0,5.00,4,0,0.0,0.0,0.0,101
Mohammad Irfan,4,0,29,1,7.25,10,3,1.0,0.0,0.0,101
Noman Ali,1,0,14,0,14.00,0,1,1.0,0.0,0.0,101
Mohammad Ilyas,4,0,22,1,5.50,8,2,0.0,0.0,0.0,101
Shoaib Malik,3,0,14,0,4.66,6,0,0.0,1.0,0.0,101
Dan Christian,3,0,44,0,14.66,2,3,3.0,0.0,0.0,101
Junaid Khan,3.2,0,42,0,12.60,2,4,1.0,1.0,1.0,101
Shahid Afridi,1,0,9,1,9.00,4,0,1.0,1.0,0.0,101
Imad Wasim,4,0,30,1,7.50,10,3,1.0,0.0,0.0,102
Mohammad Amir,4,0,33,1,8.25,10,2,2.0,0.0,0.0,102
Aamer Yamin,3,0,17,0,5.66,8,2,0.0,0.0,0.0,102
Aaron Summers,4,0,25,0,6.25,9,2,0.0,2.0,0.0,102
Iftikhar Ahmed,2,0,4,2,2.00,9,0,0.0,0.0,0.0,102
Umer Khan,3,0,22,1,7.33,8,2,1.0,0.0,0.0,102
Fakhar Zaman,1,0,14,0,14.00,1,1,1.0,0.0,0.0,102
Aizaz Cheema,3,0,32,0,10.66,6,4,1.0,0.0,1.0,102
Sandeep Lamichhane,4,0,17,2,4.25,10,1,0.0,0.0,0.0,102
David Wiese,4,0,16,1,4.00,15,2,0.0,0.0,0.0,102
Yasir Shah,3.1,0,32,1,10.10,7,2,2.0,1.0,0.0,102
Haris Rauf,4,0,23,1,5.75,10,1,1.0,0.0,0.0,102
Hasan Ali,4,0,24,2,6.00,13,3,0.0,0.0,0.0,103
Ibtisam Sheikh,3,0,30,2,10.00,6,4,1.0,0.0,0.0,103
Umaid Asif,4,0,40,1,10.00,7,3,2.0,1.0,0.0,103
Liam Dawson,2,0,25,0,12.50,2,3,1.0,0.0,0.0,103
Wahab Riaz,4,0,20,2,5.00,12,2,0.0,1.0,0.0,103
Kieron Pollard,3,0,32,0,10.66,3,4,0.0,1.0,0.0,103
Rumman Raees,4,0,41,0,10.25,9,2,4.0,0.0,0.0,103
Mohammad Sami,4,0,33,0,8.25,8,2,1.0,2.0,0.0,103
Zafar Gohar,4,0,30,2,7.50,10,1,1.0,2.0,0.0,103
Shadab Khan,4,0,21,2,5.25,13,1,1.0,0.0,0.0,103
Faheem Ashraf,4,0,40,1,10.00,10,2,3.0,1.0,2.0,103
Sohail Tanvir,4,0,19,3,4.75,12,1,0.0,2.0,0.0,104
Mohammad Nawaz,4,0,32,2,8.00,12,5,1.0,0.0,0.0,104
Mohammad Hasnain,4,0,20,1,5.00,15,1,1.0,1.0,0.0,104
Dwayne Bravo,4,0,19,3,4.75,9,0,0.0,1.0,0.0,104
Fawad Ahmed,4,0,25,0,6.25,10,2,0.0,0.0,0.0,104
Mohammad Abbas,4,0,33,0,8.25,11,3,1.0,0.0,0.0,104
Mohammad Irfan,1,0,6,0,6.00,3,1,0.0,0.0,0.0,104
Noman Ali,4,0,25,0,6.25,14,4,0.0,0.0,1.0,104
Shahid Afridi,4,0,18,2,4.50,12,2,0.0,0.0,0.0,104
Shoaib Malik,4,0,22,0,5.50,8,1,0.0,1.0,0.0,104
Mohammad Ilyas,2,0,14,1,7.00,6,2,0.0,1.0,0.0,104
Mohammad Nawaz,4,0,24,1,6.00,13,1,2.0,0.0,0.0,105
Sohail Tanvir,4,0,38,0,9.50,8,5,1.0,1.0,0.0,105
Mohammad Hasnain,4,0,34,1,8.50,11,5,1.0,1.0,0.0,105
Dwayne Bravo,4,0,41,1,10.25,5,3,2.0,1.0,0.0,105
Fawad Ahmed,4,0,25,1,6.25,11,2,1.0,0.0,0.0,105
Hasan Ali,3,0,23,0,7.66,6,0,2.0,0.0,0.0,105
Sameen Gul,4,0,34,1,8.50,9,4,1.0,0.0,0.0,105
Umaid Asif,4,0,46,1,11.50,5,5,1.0,1.0,0.0,105
Wahab Riaz,3.4,0,37,0,10.09,8,1,3.0,2.0,1.0,105
Liam Dawson,2,0,17,0,8.50,2,2,0.0,0.0,0.0,105
Kieron Pollard,1,0,6,0,6.00,1,0,0.0,1.0,0.0,105
Imad Wasim,4,0,23,0,5.75,12,3,0.0,0.0,0.0,106
Usman Shinwari,4,0,15,4,3.75,13,1,0.0,1.0,0.0,106
Aamer Yamin,4,0,16,0,4.00,10,0,0.0,0.0,0.0,106
Aaron Summers,4,0,37,0,9.25,5,5,0.0,1.0,1.0,106
Umer Khan,4,0,22,3,5.50,10,2,0.0,1.0,0.0,106
Mohammad Abbas,4,1,14,2,3.50,15,1,0.0,0.0,0.0,106
Mohammad Irfan,4,0,20,0,5.00,16,4,0.0,0.0,0.0,106
Mohammad Ilyas,4,0,27,3,6.75,9,3,0.0,1.0,0.0,106
Mohammad Irfan,3.2,0,41,0,12.30,2,4,1.0,1.0,0.0,106
Chris Green,4,0,17,0,4.25,9,0,0.0,0.0,0.0,106
Hasan Ali,4,0,34,0,8.50,11,3,2.0,0.0,0.0,107
Tymal Mills,4,0,29,3,7.25,10,3,1.0,0.0,0.0,107
Sameen Gul,4,0,17,2,4.25,13,2,0.0,0.0,0.0,107
Liam Dawson,4,0,17,1,4.25,12,1,0.0,0.0,0.0,107
Wahab Riaz,4,0,25,1,6.25,9,3,0.0,0.0,0.0,107
Shaheen Shah Afridi,4,1,17,3,4.25,15,2,0.0,1.0,0.0,107
Rahat Ali,4,0,12,1,3.00,16,1,0.0,0.0,0.0,107
Haris Rauf,4,0,28,0,7.00,9,2,1.0,0.0,0.0,107
David Wiese,4,0,32,1,8.00,6,4,0.0,0.0,0.0,107
Sandeep Lamichhane,2.1,0,22,0,10.15,4,0,2.0,1.0,0.0,107
Ryan ten Doeschate,1.4,0,9,1,5.40,3,0,0.0,0.0,0.0,107
Samit Patel,4,0,33,1,8.25,10,4,1.0,1.0,0.0,108
Shadab Khan,3,0,35,0,11.66,5,5,1.0,0.0,0.0,108
Mohammad Sami,2,0,15,0,7.50,5,2,0.0,2.0,0.0,108
Faheem Ashraf,3,0,18,4,6.00,11,1,1.0,2.0,0.0,108
Cameron Delport,1,0,9,0,9.00,1,1,0.0,0.0,0.0,108
Amad Butt,4,0,40,3,10.00,8,2,2.0,4.0,0.0,108
Zafar Gohar,3,0,28,1,9.33,7,1,2.0,3.0,0.0,108
Sohail Tanvir,4,0,19,2,4.75,12,2,0.0,1.0,0.0,108
Mohammad Nawaz,4,0,27,1,6.75,12,3,1.0,0.0,0.0,108
Dwayne Bravo,4,0,29,1,7.25,8,4,0.0,0.0,0.0,108
Mohammad Hasnain,4,0,32,2,8.00,11,2,2.0,0.0,0.0,108
Fawad Ahmed,4,0,26,3,6.50,11,2,1.0,0.0,0.0,108
Shaheen Shah Afridi,4,0,62,1,15.50,6,6,5.0,0.0,0.0,109
Rahat Ali,2,0,27,0,13.50,2,4,1.0,0.0,0.0,109
Sandeep Lamichhane,4,0,46,1,11.50,11,1,6.0,0.0,0.0,109
Agha Salman,2,0,14,0,7.00,4,2,0.0,0.0,0.0,109
David Wiese,4,0,44,1,11.00,3,2,3.0,2.0,0.0,109
Haris Rauf,4,0,40,0,10.00,5,5,1.0,1.0,0.0,109
Mohammad Sami,4,0,34,0,8.50,11,5,1.0,0.0,0.0,109
Muhammad Musa,3,0,46,0,15.33,5,4,4.0,0.0,0.0,109
Rumman Raees,4,0,45,1,11.25,9,3,3.0,2.0,2.0,109
Faheem Ashraf,4,0,19,6,4.75,14,3,0.0,0.0,0.0,109
Shadab Khan,4,0,37,1,9.25,9,2,3.0,1.0,0.0,109
Hussain Talat,1,0,5,0,5.00,2,0,0.0,0.0,0.0,109
Sohail Tanvir,4,0,46,1,11.50,8,4,3.0,1.0,0.0,110
Mohammad Nawaz,4,0,35,1,8.75,9,0,4.0,0.0,0.0,110
Dwayne Bravo,4,0,34,0,8.50,2,4,0.0,0.0,0.0,110
Mohammad Hasnain,4,0,38,2,9.50,8,5,0.0,3.0,0.0,110
Fawad Ahmed,4,0,32,1,8.00,6,1,2.0,0.0,0.0,110
Imad Wasim,4,0,17,0,4.25,10,1,0.0,0.0,0.0,110
Usman Shinwari,4,0,43,3,10.75,6,3,3.0,1.0,0.0,110
Aamer Yamin,4,0,54,0,13.50,3,3,3.0,6.0,0.0,110
Sohail Khan,4,0,39,0,9.75,8,2,3.0,2.0,0.0,110
Umer Khan,4,0,26,3,6.50,13,1,2.0,2.0,0.0,110
Mohammad Abbas,4,0,22,3,5.50,11,3,0.0,0.0,0.0,111
Mohammad Ilyas,4,0,33,1,8.25,11,3,2.0,0.0,0.0,111
Chris Green,4,0,25,1,6.25,13,3,1.0,0.0,0.0,111
Junaid Khan,4,0,36,0,9.00,10,4,1.0,0.0,0.0,111
Shahid Afridi,4,0,18,2,4.50,10,1,0.0,0.0,0.0,111
Shaheen Shah Afridi,2,0,25,1,12.50,5,4,1.0,1.0,0.0,111
Haris Rauf,3,0,29,0,9.66,11,4,2.0,0.0,0.0,111
Hassan Khan,2,0,27,0,13.50,2,2,2.0,0.0,0.0,111
Sandeep Lamichhane,2.3,0,28,0,11.20,5,2,2.0,0.0,0.0,111
David Wiese,2,0,15,1,7.50,5,2,0.0,0.0,1.0,111
Asela Gunaratne,1,0,8,0,8.00,2,1,0.0,0.0,0.0,111
Mohammad Amir,4,0,24,3,6.00,13,3,0.0,2.0,0.0,112
Usman Shinwari,4,0,42,1,10.50,6,6,0.0,0.0,2.0,112
Sohail Khan,4,0,35,0,8.75,9,4,1.0,2.0,0.0,112
Imad Wasim,4,0,43,0,10.75,4,4,2.0,1.0,0.0,112
Umer Khan,3,0,45,0,15.00,3,3,4.0,1.0,0.0,112
Colin Munro,1,0,14,2,14.00,2,0,2.0,0.0,0.0,112
Hasan Ali,3.2,0,15,3,4.50,11,1,0.0,0.0,0.0,112
Sameen Gul,3,0,49,2,16.33,5,4,4.0,0.0,1.0,112
Tymal Mills,3,0,25,2,8.33,8,4,0.0,2.0,0.0,112
Kieron Pollard,2,0,15,0,7.50,5,2,0.0,1.0,0.0,112
Wahab Riaz,3,0,19,2,6.33,7,2,0.0,1.0,1.0,112
Liam Dawson,2,0,14,0,7.00,5,0,1.0,0.0,0.0,112
Hasan Ali,4,0,39,1,9.75,6,3,2.0,0.0,1.0,113
Tymal Mills,4,0,21,1,5.25,11,2,0.0,2.0,0.0,113
Liam Dawson,2,0,27,0,13.50,3,1,3.0,0.0,0.0,113
Wahab Riaz,4,0,26,2,6.50,10,4,0.0,0.0,0.0,113
Sameen Gul,4,0,46,1,11.50,6,4,3.0,0.0,0.0,113
Kieron Pollard,2,0,24,1,12.00,1,3,0.0,3.0,0.0,113
Mohammad Nawaz,4,0,25,1,6.25,11,4,0.0,0.0,0.0,113
Sohail Tanvir,4,0,38,0,9.50,7,5,1.0,1.0,0.0,113
Mohammad Hasnain,4,1,28,2,7.00,12,4,0.0,1.0,0.0,113
Dwayne Bravo,4,0,52,0,13.00,7,4,4.0,2.0,0.0,113
Fawad Ahmed,1.2,0,8,0,6.00,2,0,0.0,1.0,0.0,113
Rilee Rossouw,0.4,0,3,1,4.50,1,0,0.0,0.0,0.0,113
Ahsan Ali,1,0,9,1,9.00,2,0,1.0,0.0,0.0,113
Shane Watson,1,0,10,1,10.00,2,0,1.0,0.0,0.0,113
Mohammad Sami,4,0,32,0,8.00,7,4,0.0,0.0,0.0,114
Rumman Raees,4,0,30,1,7.50,6,4,0.0,0.0,0.0,114
Faheem Ashraf,4,0,30,2,7.50,8,4,0.0,1.0,0.0,114
Muhammad Musa,4,0,42,3,10.50,8,3,3.0,0.0,1.0,114
Shadab Khan,4,0,26,1,6.50,5,2,0.0,0.0,0.0,114
Imad Wasim,4,0,34,0,8.50,9,3,2.0,0.0,0.0,114
Mohammad Amir,3.3,0,35,1,10.00,6,4,1.0,2.0,0.0,114
Aamer Yamin,4,0,27,2,6.75,10,1,1.0,1.0,0.0,114
Usman Shinwari,3,0,42,1,14.00,5,3,4.0,0.0,0.0,114
Umer Khan,4,0,16,2,4.00,14,0,1.0,1.0,0.0,114
Iftikhar Ahmed,1,0,10,0,10.00,3,2,0.0,1.0,0.0,114
Mohammad Sami,3,0,25,0,8.33,9,5,0.0,1.0,0.0,115
Rumman Raees,4,0,48,0,12.00,7,3,4.0,0.0,0.0,115
Faheem Ashraf,4,0,38,0,9.50,7,4,1.0,2.0,0.0,115
Shadab Khan,4,0,46,1,11.50,7,3,4.0,0.0,0.0,115
Muhammad Musa,2,0,28,0,14.00,1,4,1.0,0.0,0.0,115
Cameron Delport,3,0,24,2,8.00,6,2,1.0,1.0,0.0,115
Hasan Ali,4,0,29,3,7.25,9,3,1.0,0.0,0.0,115
Tymal Mills,4,0,31,1,7.75,8,2,1.0,2.0,0.0,115
Chris Jordan,4,0,26,3,6.50,12,0,2.0,1.0,0.0,115
Wahab Riaz,4,0,25,1,6.25,10,2,0.0,0.0,2.0,115
Kieron Pollard,4,0,53,1,13.25,4,4,3.0,1.0,0.0,115
Sohail Tanvir,4,0,23,0,5.75,11,2,0.0,2.0,0.0,116
Mohammad Hasnain,4,0,30,3,7.50,9,4,0.0,0.0,0.0,116
Mohammad Nawaz,4,0,31,1,7.75,12,3,2.0,0.0,0.0,116
Dwayne Bravo,4,0,24,2,6.00,10,3,0.0,0.0,0.0,116
Fawad Ahmed,4,0,22,1,5.50,10,1,1.0,0.0,0.0,116
Hasan Ali,4,0,29,0,7.25,8,4,0.0,0.0,0.0,116
Tymal Mills,4,0,31,0,7.75,9,5,0.0,1.0,0.0,116
Chris Jordan,3,0,38,0,12.66,5,4,2.0,1.0,0.0,116
Wahab Riaz,4,0,19,1,4.75,11,1,0.0,2.0,0.0,116
Sohaib Maqsood,1,0,8,0,8.00,2,1,0.0,0.0,0.0,116
Kieron Pollard,1,0,5,0,5.00,1,0,0.0,0.0,0.0,116
Nabi Gul,0.5,0,4,0,4.80,1,0,0.0,0.0,0.0,116
Mohammad Nawaz,2,0,17,1,8.50,5,3,0,1,0,117
Sohail Khan,2.1,0,21,2,9.69,7,3,1,1,0,117
Mohammad Hasnain,4,0,25,4,6.25,13,3,0,1,1,117
Ben Cutting,4,0,31,3,7.75,7,4,0,0,0,117
Abdul Nasir,3,0,26,0,8.66,3,0,2,0,0,117
Fawad Ahmed,4,0,43,0,10.75,1,4,1,0,0,117
Muhammad Musa,4,1,30,3,7.50,14,1,3,0,1,117
Akif Javed,4,0,21,1,5.25,12,3,0,0,0,117
Faheem Ashraf,3,0,18,1,6.00,7,2,0,1,0,117
Shadab Khan,3.3,0,46,0,13.14,3,4,3,0,0,117
Amad Butt,4,0,50,1,12.50,2,6,1,1,0,117
Hasan Ali,4,0,52,2,13.00,7,3,5,0,0,118
Rahat Ali,4,0,33,0,8.25,8,2,1,3,0,118
Shoaib Malik,2,0,22,0,11.00,2,2,1,0,0,118
Wahab Riaz,4,0,35,0,8.75,5,3,0,2,2,118
Mohammad Mohsin,4,0,35,1,8.75,6,2,2,0,0,118
Liam Dawson,2,0,22,0,11.00,3,4,0,0,0,118
Mohammad Amir,4,0,34,1,8.50,7,3,1,1,0,118
Arshad Iqbal,4,0,51,0,12.75,3,2,4,0,0,118
Chris Jordan,4,0,39,2,9.75,7,5,0,2,0,118
Umaid Asif,4,0,23,2,5.75,8,1,0,0,0,118
Cameron Delport,2,0,23,1,11.50,1,2,1,1,0,118
Imad Wasim,2,0,20,0,10.00,1,0,1,0,0,118
Sohail Tanvir,4,0,36,1,9.00,13,1,4,1,0,119
Mohammad Irfan,4,0,24,0,6.00,13,4,0,0,0,119
Imran Tahir,4,0,21,2,5.25,12,1,1,0,0,119
Moeen Ali,2,0,13,2,6.50,5,0,1,0,0,119
Shahid Afridi,4,0,25,0,6.25,11,4,0,0,0,119
Mohammad Ilyas,2,0,16,2,8.00,5,1,1,1,0,119
Shaheen Shah Afridi,4,0,18,1,4.50,12,0,0,4,0,119
Usman Shinwari,2,0,26,0,13.00,4,4,1,0,0,119
Haris Rauf,4,0,40,1,10.00,10,4,2,2,0,119
Dilbar Hussain,2.1,0,24,0,11.07,3,4,0,1,0,119
Mohammad Hafeez,2,0,18,0,9.00,3,1,1,0,0,119
David Wiese,2,0,11,1,5.50,2,0,0,0,0,119
Hasan Ali,4,0,22,0,5.50,11,1,0,0,0,120
Rahat Ali,4,0,38,1,9.50,7,6,0,1,0,120
Mohammad Amir Khan,4,0,24,1,6.00,8,0,1,1,0,120
Wahab Riaz,4,0,21,2,5.25,11,2,0,0,0,120
Liam Dawson,3,0,31,0,10.33,4,2,2,0,0,120
Daren Sammy,1,0,9,1,9.00,1,1,0,0,0,120
Mohammad Nawaz,3,0,33,0,11.00,5,3,2,1,0,120
Sohail Khan,4,0,27,1,6.75,11,2,1,0,0,120
Mohammad Hasnain,4,0,28,0,7.00,14,5,0,3,0,120
Tymal Mills,4,0,25,1,6.25,13,2,1,0,0,120
Fawad Ahmed,3.3,0,40,2,11.42,5,4,2,0,0,120
Muhammad Musa,4,0,24,1,6.00,9,3,0,0,0,121
Akif Javed,4,0,35,1,8.75,8,3,2,0,0,121
Faheem Ashraf,4,0,34,2,8.50,7,3,1,2,0,121
Shadab Khan,3,0,29,0,9.66,6,4,1,0,0,121
Amad Butt,4,0,27,4,6.75,8,3,0,0,0,121
Hussain Talat,1,0,10,0,10.00,1,0,1,0,0,121
Sohail Tanvir,2,0,16,0,8.00,6,1,1,2,0,121
Imran Tahir,4,0,44,0,11.00,4,3,3,0,0,121
Mohammad Irfan,4,0,43,0,10.75,7,8,0,1,0,121
Mohammad Ilyas,2.4,0,17,1,6.37,6,0,1,1,0,121
Shahid Afridi,3,0,25,1,8.33,5,2,1,0,0,121
Moeen Ali,1,0,19,0,19.00,1,3,1,0,0,121
Sohail Khan,4,0,24,1,6.00,10,2,0,0,0,122
Naseem Shah,4,0,23,0,5.75,15,4,0,1,0,122
Tymal Mills,4,0,30,2,7.50,12,4,1,0,0,122
Mohammad Hasnain,4,0,33,3,8.25,10,2,2,1,0,122
Anwar Ali,2,0,19,0,9.50,1,1,1,0,0,122
Mohammad Nawaz,2,0,13,1,6.50,3,1,0,0,0,122
Imad Wasim,4,0,20,1,5.00,12,1,1,0,0,122
Mohammad Amir,4,0,30,0,7.50,9,1,2,0,0,122
Umaid Asif,3,0,25,0,8.33,4,3,0,1,0,122
Chris Jordan,4,0,34,1,8.50,6,3,1,0,0,122
Arshad Iqbal,4,0,43,0,10.75,5,4,2,0,0,122
Muhammad Musa,3,0,37,1,12.33,8,6,1,1,0,123
Faheem Ashraf,4,0,42,2,10.50,8,3,3,1,0,123
Amad Butt,4,0,35,0,8.75,5,3,1,0,0,123
Shadab Khan,4,0,14,2,3.50,11,0,0,0,0,123
Hussain Talat,2,0,24,0,12.00,3,3,1,0,0,123
Ahmed Safi Abdullah,3,0,27,1,9.00,10,1,3,0,0,123
Shaheen Shah Afridi,4,0,18,4,4.50,15,2,0,2,0,123
Mohammad Hafeez,2,0,11,1,5.50,6,0,1,0,0,123
Usman Shinwari,3.5,0,46,0,12.00,5,5,2,0,1,123
Haris Rauf,4,0,41,2,10.25,12,5,2,1,1,123
David Wiese,4,0,33,1,8.25,6,1,2,0,0,123
Samit Patel,2,0,30,1,15.00,2,1,3,0,0,123
Mohammad Irfan,4,0,31,2,7.75,14,5,1,0,0,124
Mohammad Ilyas,3,0,23,2,7.66,8,2,1,1,0,124
Sohail Tanvir,3.3,1,13,4,3.71,16,2,0,2,0,124
Shahid Afridi,4,0,31,1,7.75,10,5,0,0,0,124
Imran Tahir,4,0,23,1,5.75,9,1,0,1,0,124
Hasan Ali,3,0,22,1,7.33,10,4,0,2,0,124
Rahat Ali,4,0,20,1,5.00,13,1,1,0,0,124
Wahab Riaz,3.5,0,36,2,9.39,8,5,1,1,0,124
Shoaib Malik,2,0,10,0,5.00,6,1,0,0,0,124
Mohammad Amir Khan,2,0,35,0,17.50,0,5,1,0,1,124
Sohail Khan,4,0,42,0,10.50,9,3,3,0,0,125
Naseem Shah,4,0,23,2,5.75,13,2,1,1,0,125
Tymal Mills,4,0,34,2,8.50,12,1,3,1,1,125
Mohammad Hasnain,3,0,33,1,11.00,5,3,2,1,0,125
Mohammad Nawaz,2,0,18,0,9.00,4,0,2,0,0,125
Ben Cutting,3,0,34,1,11.33,3,4,1,0,0,125
Rumman Raees,4,0,34,0,8.50,8,1,2,2,1,125
Muhammad Musa,3,0,24,0,8.00,11,4,1,0,0,125
Faheem Ashraf,4,0,46,2,11.50,8,8,1,0,0,125
Shadab Khan,3,0,33,1,11.00,6,3,2,1,0,125
Ahmed Safi Abdullah,3,0,17,2,5.66,5,1,0,0,0,125
Amad Butt,2.4,0,31,0,11.62,3,2,2,0,0,125
Mohammad Amir,4,0,27,2,6.75,10,1,1,1,1,126
Umaid Asif,4,0,34,1,8.50,11,4,1,0,0,126
Iftikhar Ahmed,3,0,42,1,14.00,3,3,3,0,0,126
Chris Jordan,4,0,29,2,7.25,5,1,1,0,0,126
Imad Wasim,1,0,12,0,12.00,2,1,1,0,0,126
Cameron Delport,4,0,37,0,9.25,4,5,0,0,0,126
Mohammad Irfan,4,0,24,1,6.00,12,2,1,0,0,126
Moeen Ali,2,0,25,1,12.50,2,3,1,0,0,126
Sohail Tanvir,3,0,20,2,6.66,7,2,0,1,0,126
Mohammad Ilyas,2,0,19,1,9.50,4,0,2,0,0,126
Shahid Afridi,3,0,18,2,6.00,8,2,0,1,0,126
Imran Tahir,3,0,28,3,9.33,8,1,3,0,0,126
Shaheen Shah Afridi,3,0,27,1,9.00,8,3,1,1,1,127
Salman Irshad,2,0,33,0,16.50,3,3,2,1,0,127
David Wiese,2,0,16,2,8.00,7,2,1,0,0,127
Maaz Khan,2,0,31,0,15.50,2,0,4,0,0,127
Dilbar Hussain,3,0,24,4,8.00,7,0,2,0,0,127
Rahat Ali,2,0,23,0,11.50,2,1,2,0,0,127
Hasan Ali,2,0,22,0,11.00,3,4,0,0,0,127
Wahab Riaz,3,0,33,1,11.00,6,6,0,1,1,127
Lewis Gregory,3,0,25,4,8.33,7,1,2,0,0,127
Mohammad Amir Khan,2,0,11,1,5.50,6,0,1,0,0,127
Mohammad Nawaz,3,0,16,1,5.33,8,2,0,0,0,128
Naseem Shah,4,0,45,1,11.25,8,6,2,1,0,128
Sohail Khan,4,0,45,1,11.25,7,7,1,2,0,128
Mohammad Hasnain,4,0,38,1,9.50,10,3,2,1,1,128
Ben Cutting,4,0,42,1,10.50,5,6,0,1,0,128
Anwar Ali,1,0,12,0,12.00,0,0,1,1,0,128
Mohammad Irfan,4,0,49,0,12.25,10,8,2,0,1,128
Mohammad Ilyas,3,0,37,0,12.33,6,5,2,0,0,128
Sohail Tanvir,4,0,27,0,6.75,11,3,1,0,0,128
Bilawal Bhatti,4,0,26,3,6.50,7,1,1,0,1,128
Imran Tahir,4,0,27,2,6.75,10,1,2,0,0,128
Khushdil Shah,1,0,1,1,1.00,5,0,0,0,0,128
Imad Wasim,4,0,31,1,7.75,9,3,1.0,0.0,0.0,129
Mohammad Amir,4,0,40,1,10.00,9,4,2.0,0.0,0.0,129
Umaid Asif,4,0,45,0,11.25,6,1,4.0,2.0,0.0,129
Chris Jordan,4,0,41,0,10.25,7,5,1.0,1.0,0.0,129
Umer Khan,4,0,24,1,6.00,7,2,0.0,0.0,0.0,129
Dale Steyn,4,1,37,1,9.25,13,3,2.0,2.0,0.0,129
Rumman Raees,3,0,27,1,9.00,9,3,1.0,1.0,0.0,129
Muhammad Musa,3,0,32,0,10.66,5,3,2.0,0.0,0.0,129
Faheem Ashraf,2.4,0,47,0,17.62,2,2,5.0,0.0,0.0,129
Shadab Khan,4,0,23,0,5.75,5,1,0.0,0.0,0.0,129
Ahmed Safi Abdullah,2,0,21,1,10.50,3,0,2.0,0.0,0.0,129
Mohammad Amir,4,0,25,4,6.25,13,4,0,2,0,130
Aamer Yamin,4,1,22,1,5.50,11,2,0,1,0,130
Chris Jordan,4,0,33,2,8.25,8,2,1,3,0,130
Imad Wasim,4,0,27,0,6.75,3,1,0,0,0,130
Umer Khan,4,0,41,1,10.25,7,3,2,1,0,130
Hasan Ali,4,0,35,1,8.75,11,7,0,0,0,130
Rahat Ali,3.1,0,21,0,6.63,11,3,0,2,0,130
Wahab Riaz,2,0,25,0,12.50,2,3,1,1,0,130
Yasir Shah,4,0,28,2,7.00,9,3,0,1,0,130
Lewis Gregory,2,0,19,0,9.50,4,3,0,0,0,130
Liam Livingstone,1,0,10,0,10.00,1,0,1,0,0,130
Carlos Brathwaite,2,0,13,1,6.50,5,2,0,0,0,130
Mohammad Nawaz,4,0,44,1,11.00,7,2,4,0,0,131
Naseem Shah,4,0,48,0,12.00,8,5,3,1,0,131
Fawad Ahmed,4,0,28,1,7.00,10,3,1,0,0,131
Mohammad Hasnain,4,0,32,1,8.00,8,3,1,0,0,131
Ben Cutting,3,0,36,2,12.00,5,4,2,0,0,131
Anwar Ali,1,0,19,0,19.00,0,1,2,0,0,131
Shaheen Shah Afridi,4,0,39,0,9.75,7,3,2,2,0,131
Samit Patel,4,0,31,2,7.75,10,3,1,3,0,131
Dilbar Hussain,2,0,11,2,5.50,5,1,0,0,0,131
Salman Irshad,4,0,30,4,7.50,14,3,2,1,0,131
Seekkuge Prasanna,3,0,28,0,9.33,5,3,1,1,0,131
Mohammad Faizan,3,0,29,2,9.66,7,1,3,0,0,131
Samit Patel,2,0,26,0,13.00,2,2,2,0,0,132
Usman Shinwari,4,0,31,0,7.75,7,4,0,0,0,132
Dilbar Hussain,2.1,0,14,0,6.46,5,2,0,0,0,132
Salman Irshad,4,0,43,1,10.75,7,5,1,1,0,132
Seekkuge Prasanna,2,0,28,0,14.00,1,4,1,0,0,132
Mohammad Faizan,3.5,0,41,1,10.69,8,5,2,1,0,132
Mohammad Hafeez,2,0,11,1,5.50,4,1,0,0,0,132
Dale Steyn,4,0,18,1,4.50,15,1,1,1,0,132
Rumman Raees,3.5,0,29,3,7.56,11,1,2,2,0,132
